Title,Rating,reviews,Discount,Normal price,discount price,Publish date,Win,Mac,Linux,Date
Red Dead Redemption 2,88%,"247,002",-50%,,"239,00","5 Dec, 2019",1,0,0,2022-06-21 22:57
God of War,97%,"34,532",-20%,,"199,90","14 Jan, 2022",1,0,0,2022-06-21 22:57
DayZ,71%,"255,764",-40%,,"119,99","13 Dec, 2018",1,0,0,2022-06-21 22:57
FINAL FANTASY VII REMAKE INTERGRADE,91%,"2,070",-29%,,"349,90","17 Jun, 2022",1,0,0,2022-06-21 22:57
Raft,93%,"151,608",-15%,,"36,99","20 Jun, 2022",1,0,0,2022-06-21 22:57
MONSTER HUNTER RISE,87%,"21,593",-49%,,"179,99","12 Jan, 2022",1,0,0,2022-06-21 22:57
A Plague Tale: Innocence,93%,"37,791",-80%,,"129,90","14 May, 2019",1,0,0,2022-06-21 22:57
DayZ Livonia Edition,71%,"256,720",-43%,,"144,98",,1,0,0,2022-06-21 22:57
Dying Light 2 Stay Human,79%,"73,942",-33%,,"249,00","3 Feb, 2022",1,0,0,2022-06-21 22:57
Devil May Cry 5,95%,"47,537",-67%,,"89,99","7 Mar, 2019",1,0,0,2022-06-21 22:57
Forza Horizon 5,87%,"70,911",-20%,,"249,00","8 Nov, 2021",1,0,0,2022-06-21 22:57
Dragon's Dogma: Dark Arisen,89%,"21,019",-84%,,"74,99","15 Jan, 2016",1,0,0,2022-06-21 22:57
Chivalry 2,83%,"5,438",-40%,,"75,49","12 Jun, 2022",1,0,0,2022-06-21 22:57
Monster Hunter: World,87%,"214,112",-50%,,"69,99","9 Aug, 2018",1,0,0,2022-06-21 22:57
Ruined King: A League of Legends Story,89%,"7,542",-40%,,"69,99","16 Nov, 2021",1,0,0,2022-06-21 22:57
STAR WARS Jedi: Fallen Order,90%,"79,202",-75%,,"199,00","14 Nov, 2019",1,0,0,2022-06-21 22:57
theHunter: Call of the Wild,87%,"91,206",-75%,,"37,99","16 Feb, 2017",1,0,0,2022-06-21 22:57
Dying Light,95%,"234,640",-60%,,"74,99","21 Apr, 2016",1,1,1,2022-06-21 22:57
Teenage Mutant Ninja Turtles: Shredder's Revenge,93%,"3,950",-10%,,"94,99","16 Jun, 2022",1,0,1,2022-06-21 22:57
MONSTER HUNTER RISE Deluxe Edition,87%,"21,652",-52%,,"224,98",,1,0,0,2022-06-21 22:57
Deep Rock Galactic,97%,"109,653",-67%,,"57,99","13 May, 2020",1,0,0,2022-06-21 22:57
Jurassic World Evolution 2,82%,"9,921",-50%,,"109,99","9 Nov, 2021",1,0,0,2022-06-21 22:57
Battlefield 2042,28%,"106,916",-50%,,"249,00","19 Nov, 2021",1,0,0,2022-06-21 22:57
Street Fighter V,69%,"22,808",-75%,,"39,99","15 Feb, 2016",1,0,0,2022-06-21 22:57
Monster Hunter World: Iceborne,55%,"14,590",-50%,,"89,99","9 Jan, 2020",1,0,0,2022-06-21 22:57
